Date,Clutch,Individual within clutch,Playback age (day),Playback time (hour),Playback time (min),Hatching response (0 - no hatch; 1 - hatched),Latency to hatch (min),R2 (right eye),Sine fit amplitude (right eye),R2 (left eye),Sine fit amplitude (left eye),Sine fit amplitude (mean of eyes),"VOR amplitude (mean sine fit, excluding non-VOR eye movements)",Tadpole length (mm),Developmental stage
20150812,262,14,4,9,3,0,NA,0.966,35.05,0.902,25.77,30.41,30.41,10.039,6
20150812,262,15,4,12,0,0,NA,0.839244461,20.85253202,0.848775765,21.29559946,21.07406574,21.07406574,10.462,6
20150812,262,16,4,12,0,1,1.8,0.96,34.03,0.72,23.41,28.72,28.72,10.816,7
20150812,262,17,4,15,0,1,1.8,0.921,30.79,0.901,29.3,30.045,30.045,10.959,7
20150812,262,18,4,15,0,1,0,0.97,30.98,0.968,40.86,35.92,35.92,10.607,7
20150812,263,1,3,15,20,0,NA,0.354451626,5.191698396,0.158776987,2.761189724,3.97644406,0,8.953,3
20150812,263,2,3,15,20,0,NA,0.365335159,3.418669603,0.227969817,2.596437865,3.007553734,0,9.137,3
20150812,263,3,3,18,13,0,NA,0.013999211,0.754114497,0.132703055,2.990033508,1.872074003,0,8.767,4
20150812,263,4,3,18,13,0,NA,0.19624222,2.279971008,0.038912978,3.439083433,2.859527221,0,9.711,4
20150812,263,5,3,21,12,1,1.8,0.605355933,3.920429591,0.61001011,8.066933823,5.993681707,5.993681707,10.177,6
20150812,263,6,3,21,12,0,NA,0.501501351,9.561274893,-0.018803368,3.879260237,6.720267565,6.720267565,9.616,6
20150812,263,7,4,0,9,1,1.2,0.868956361,24.51542061,0.934137335,24.89359622,24.70450842,24.70450842,10.112,6
20150812,263,8,4,0,9,1,4.2,0.814416137,9.384005531,0.676747711,7.778282937,8.581144234,8.581144234,10.303,6
20150813,263,9,4,3,13,0,NA,0.948614854,23.23094299,0.613028516,11.30134718,17.26614509,17.26614509,10.111,6
20150813,263,10,4,3,13,1,1.8,0.853993192,15.71814753,0.838470123,13.30948947,14.5138185,14.5138185,10.592,6
20150813,263,11,4,6,1,1,0,0.916,22.45,0.948,20.38,21.415,21.415,10.968,6
20150813,263,12,4,6,1,1,0,0.944,26,0.947,28.76,27.38,27.38,11.03,6
20150812,264,1,3,9,20,0,NA,0.058627875,2.889207456,-0.030241335,3.480394217,3.184800837,0,NA,2
20150812,264,2,3,9,20,0,NA,0.168256438,3.517668892,-0.042413098,2.539229569,3.028449231,0,NA,2
20150812,264,3,3,11,59,1,4.00000002,0.236518515,3.022394121,0.341688166,4.644563079,3.8334786,0,8.852,3
20150812,264,4,3,11,59,0,NA,0.153117863,2.97619808,0.056538341,3.208851755,3.092524918,0,7.942,2
20150812,264,5,3,15,3,0,NA,0.139,2.63,0.393,4.83,3.73,3.73,8.805,3
20150812,264,6,3,15,3,0,NA,0.187,6.55,-0.049,3.99,5.27,0,8.884,2
20150812,264,7,3,18,2,1,4.2,0.518,10.99,0.753,13.43,12.21,12.21,9.465,3
20150812,264,8,3,18,2,0,NA,0.429048951,8.065407318,0.627076961,14.04271941,11.05406337,0,8.999,3
20150812,264,9,3,21,0,0,NA,0.878,20.66,0.722,21.04,20.85,20.85,9.844,3
20150812,264,10,3,21,0,0,NA,0.655,26.92,0.669,32.69,29.805,29.805,9.803,5
20150813,264,11,4,0,0,1,3,0.666132049,10.07139498,0.528296456,11.26301407,10.66720453,10.66720453,9.876,5
20150813,264,12,4,0,0,1,3,0.876879624,20.05340991,0.90737881,21.26251576,20.65796284,20.65796284,9.932,6
20150813,264,13,4,3,2,1,2.00000004,0.567844624,8.714209742,0.357576115,8.001263541,8.357736642,8.357736642,10.535,6
20150813,264,14,4,3,2,1,1.00000002,0.861699969,19.65488512,0.617983678,15.8778588,17.76637196,17.76637196,10.201,6
20150812,265,1,3,15,51,0,NA,0.182174772,2.784435323,0.097901829,3.633041089,3.208738206,0,NA,3
20150812,265,2,3,15,51,0,NA,0.055390295,1.493608039,0.601267177,3.95157311,2.722590574,0,NA,3
20150812,265,3,3,18,35,1,3,0.170805443,4.126323416,0.113320329,3.444854382,3.785588899,0,9.381,4
20150812,265,4,3,18,35,1,2.4,0.177,2.67,0.068,2.85,2.76,0,8.652,4
20150812,265,5,3,21,47,1,1.2,0.208,2.68,0.295,3.7,3.19,0,8.918,4
20150812,265,6,3,21,47,0,NA,0.725257415,11.42218476,0.822523247,13.76574519,12.59396498,12.59396498,9.689,4
20150813,265,7,4,0,29,1,1.2,0.937391128,27.61407894,0.885787296,20.96890899,24.29149397,24.29149397,9.653,6
20150813,265,8,4,0,29,1,3,0.921,30.79,0.901,29.3,30.045,30.045,9.797,6
20150812,266,1,3,18,56,0,NA,0.242738868,2.273064256,0.162383286,3.110506613,2.691785435,0,9.093,3
20150812,266,2,3,18,56,0,NA,0.332412934,2.727211704,0.239330535,2.98499312,2.856102412,0,8.272,4
20150812,266,3,3,21,59,0,NA,0.348400916,5.994170778,0.197541635,4.124883797,5.059527288,0,8.981,4
20150812,266,4,3,21,59,0,NA,0.506339422,7.861394142,0.338713302,7.080985022,7.471189582,7.471189582,9.461,4
20150813,266,5,4,0,43,1,0.6,0.918533114,16.6031346,0.829705257,13.41635569,15.00974514,15.00974514,9.206,5
20150813,266,6,4,0,43,0,NA,0.823960863,8.957290981,0.828228163,10.66447911,9.810885046,9.810885046,9.202,5
20150813,266,7,4,3,31,1,1.8,0.953988514,32.86357918,0.950611908,28.52371011,30.69364465,30.69364465,10.104,6
20150813,266,8,4,3,31,1,3,0.929595555,26.5045797,0.913335379,26.59728942,26.55093456,26.55093456,9.76,6
20150813,266,9,4,6,21,0,NA,0.634592034,9.078599219,0.479242742,7.522179498,8.300389359,8.300389359,9.678,6
20150813,266,10,4,6,21,1,3,0.926185563,26.98149318,0.911244329,23.75078985,25.36614152,25.36614152,9.936,6
20150813,266,11,4,9,17,1,0,0.947,29.11,0.982,42.86,35.985,35.985,10.418,6
20150813,266,12,4,9,17,1,0,0.942204068,36.1487075,0.963572737,34.7742007,35.4614541,35.4614541,10.449,6
